Column 0;Auteur;Column 2;Titel;Column 4;AlterTitel;Column 6;Serie;Column 8;Uitgever;Jaren2;Type;Column 12;Code;Column 14;Onderwerp1;Column 16;Onderwerp2;Column 18;Inhoud;Column 20;InvoerDatum
0157;Berghe, J. van den;	;De Habsburgs en de Coburgs;	;;	;;	;Helios;	1984	0	;fotoboek;	;z015n;	;Rudolf van Oostenrijk, Stephanie van België, e.a.;	;Leopold II van België en Maria Hendrika van Oostenrijk, Albert I van België en Elisabeth van Beieren, Laurens van Oostenrijk-Este en Astrid van België, Charlotte van België en Maximiliaan van Oostenrijk en Mexico;	;ï;;NULL
0147;Berghe, J. van den;	;Het intieme dagboek van een koningshuis;	;;	;;	;Helios;	1980	0	;fotoboek;	;z014n;	;Leopold II van België, Albert I van België, Louise van België, e.a.;	;Leopold I van België en Filips van Saksen-Coburg, Leopold III van België en Astrid van Zweden, Stephanie van België en Rudolf van Oostenrijk, Marie-Louise van Frankrijk, Elisabeth van Beieren, Clementine van België, Charlotte van België;	;ï;;NULL
0230;Bernhardt, L.S.;	;Keizerin van mijn hart;	;La vie tourmenté de Sophie Chotek;	;Gulden Pocket;	;;	0	1968	;romannetje;	;p023n;	;Frans Ferdinand van Oostenrijk, Sophie Chotek;	;Frans Jozef I van Oostenrijk;	;;;NULL
0262;Bernhart, J.;	;De drievoudige kroon;	;Der Vatikan als Weltmacht;	;;	;Fontein Utrecht;	0	1953	;naslagwerk;	;b026n;	;paus Leo IV, paus Nicolaas de grote, paus Urbanus VIII e.a.;	;paus Gregorius VII de heilige, paus Innocentus X, paus Sixtus V, paus Clemens VII de' Medici, paus Paulus III Farnese, paus Paulus V Borghese, paus Julius II della Rovere, paus Clemens XI, paus Adrianus I, paus Leo X de' Medici, paus Alexander VI Borgia;	;P;;NULL
0207;Beusekom, E. van, e.a.;	;Moeders uit ons vorstenhuis;	;;	;;	;Scheltens / Giltay;	1938	0	;naslagwerk;	;z020n;	;Juliana van Stolberg, Amalia van Solms, Marianne van Nederland, e.a.;	;Anna van Saksen, Anna van Buren, Charlotte de Bourbon, Maria Stuart van Groot-Brittannië, Sophia Hedwig van Brunswijk-Lüneburg, Amalia van Anhalt-Dessau, Marie Louise "Maaike Meu" van Hessen-Kassel, Willemijntje van Pruisen, Anna Paulowna van Rusland;	;ï;;NULL
1492;Beyer, ds. C.;	;Anastasia;	;Anastasia;	;;	;G.F. Callenbach;	0	0	;novelle;	;b149n;	;Anastasia van Pommeren, hertogin van Mecklenburg;	;;	;;;NULL
0307;Bibby, G.;	;Vierduizend jaar geleden;	;Four thousand years ago;	;Meulenhoff Informatief;	;Meulenhoff;	1961	1981	;roman;	;z030n;	;Toetanchamon van Egypte, Achsenpaäten van Egypte, e.a.;	;;	;;;NULL
0252;Bingham, C.;	;Kings and Queens of Scotland;	;Kings and Queens of Scotland;	;;	;Dorset;	1976	1976	;naslagwerk;	;b025e;	;Jacobus II van Schotland, Mary I Stuart van Schotland, e.a.;	;Malcolm III van Schotland, Margaret Ætheling van Engeland, Robert I Bruce van Schotland, Maria van Gelre, Jacobus III van Schotland, Alexander III van Schotland, Jacobus I van Schotland, Jacobus IV van Schotland, Maria van Lotharingen-Guise;	;ïx;;NULL
0100;Boeren, dr. P.C.;	;Een Nederlandse wacht... (Jan de eerste, hertog van Brabant);	;;	;;	;B&C-maatschappij;	0	1952	;roman;	;p010n;	;Jan I de overwinnaar van Brabant;	;Margaretha van Vlaanderen, hertogin van Brabant, Aleidis van Bourgondië, hertogin van Brabant;	;;;NULL
0117;Bold, A.;	;Scotland's Kings and Queens;	;Scotland's Kings and Queens;	;Pictorial Guides;	;Pitkin;	0	1980	;fotoboek;	;z011e;	;Jacobus IV van Schotland, Mary I Stuart van Schotland, e.a.;	;Malcolm III van Schotland, Jacobus I van Schotland, Robert I Bruce van Schotland, Charles Edward Stuart van Schotland, "Bonnie Prince Charlie", Anna van Denemarken, Jacobus V van Schotland, Alexander III van Schotland, Kenneth I mac Alpin van Schotland;	;i;;NULL
0742;Bourne, P.;	;Ghislaine en de hof der lusten;	;The court of love;	;Cultuurserie;	;Stok / ZHU;	0	0	;roman;	;b074n;	;Eleonora van Aquitanië, koningin van Engeland;	;;	;;;NULL
0812;Bowen, M.;	;De gunsteling van koning Jacobus I;	;Intriques at the court of James I;	;;	;T;	0	1981	;roman;	;b081n;	;Jacobus I van Engeland en Schotland;	;Hendrik van Engeland en Schotland, Anna van Denemarken, koningin van Engeland en Schotland;	;;;NULL
0952;Boyton, P.;	;The reluctant mistress;	;The reluctant mistress;	;;	;RH;	1977	1977	;roman;	;b095e;	;Frans I van Frankrijk, Hendrik VIII van Engeland en Mary Boleyn;	;;	;;;NULL
0487;Bradford, S.;	;De Borgia's;	;The Borgia's;	;;	;F-VD;	1981	1986	;roman;	;z048n;	;paus Alexander VI Borgia, Cesare Borgia;	;Lucretia Borgia, Alfonso I van Este-Modena, Alfonso van Aragon, bastaard van Napels, prins van Salerno;	;;;NULL
0272;Brandt, dr. C.D.J.;	;Kruisvaarders naar Jeruzalem;	;;	;;	;De Haan;	0	1950	;naslagwerk;	;b027n;	;de eerste kruistocht;	;Godfried van Bouillon en Boudewijn I van Jeruzalem, Alexius I Comnenos van Byzantium;	;ïx;;NULL
0492;Brevoort, W. van;	;Floris der keerlen God;	;;	;;	;Vox Hollandiae;	1945	0	;roman;	;b049n;	;Floris V van Holland;	;Beatrix van Vlaanderen, Jan I van Holland;	;;;NULL
1902;Brögger, W.;	;Driemaal koningin;	;Tre gange dronning;	;;	;Van Kampen & zoon;	0	0	;roman;	;b190n;	;Ulfhilde Tjottaäten, Sverker I van Zweden;	;Inge II de jonge van Zweden, Margaretha Fredkulla van Zweden, Sigurd I de kruisvaarder van Noorwegen, Niels I van Denemarken;	;;;NULL
